Label,a,b,c,d,e,f
0,11.72363071,0.815721653,-0.459733489,0.121313958,2.236960416,0.323483793
0,8.951550109,0.910550697,-0.505138152,0.109715267,2.545160938,0.266407339
0,8.543258691,0.642653771,-0.225182608,0.209892942,1.365307972,0.595260911
0,10.69878027,0.746121414,0.166621756,0.112085443,2.077294281,0.319743824
0,11.56146417,0.63708187,0.459180949,0.078444996,1.816001116,0.221481726
0,8.719711308,0.813075754,0.540537008,0.082140323,2.351253011,0.235184565
0,8.628962626,0.469983949,0.175503412,0.120827521,1.236005834,0.376884709
0,11.48999719,0.922157632,-0.120395652,0.11481127,2.629466791,0.297163696
0,10.91172242,1.045804278,-0.443502783,0.060875815,2.870417533,0.187280294
0,8.618712205,0.728677227,-0.437603467,0.062861323,2.074870112,0.152525554
0,8.778090754,0.603872812,-0.175220596,0.086452375,1.686110948,0.263209216
0,10.70068064,0.645959379,0.176968574,0.110344755,1.812798972,0.30815537
0,11.57134329,0.972565197,0.48048766,0.091750978,2.856839496,0.228779151
0,8.897808439,1.181557716,0.34165003,0.101361043,3.477127704,0.271098933
0,8.270305489,0.715100361,0.218306519,0.088619836,2.205265065,0.265994978
0,10.89561946,0.553878512,-0.183289041,0.047655837,1.506984351,0.127624365
0,11.47361255,1.136854679,-0.36093963,0.095769247,2.914412429,0.268174626
0,8.740066036,0.816484542,-0.469202999,0.07334343,2.02108366,0.208486824
0,8.524942662,0.785447625,-0.232444866,0.136904015,2.278973553,0.355469077
0,10.96381451,0.665252916,0.113566304,0.112101775,1.833973319,0.252448792
0,11.13232192,0.461077852,0.49982524,0.113717362,1.252399924,0.266760668
0,8.87778981,0.976496576,0.457525131,0.145856592,2.903862087,0.39497925
0,8.248226333,0.689149027,0.182125928,0.122761773,2.044424733,0.311705536
0,11.37028,0.85405054,-0.165559273,0.121165212,2.56202298,0.357115139
0,11.02045215,0.473924741,-0.354052538,0.098828734,1.422029947,0.252669044
0,8.854359257,0.758836049,-0.427950493,0.130843254,2.254226767,0.357738847
0,8.648962194,0.908295668,-0.205542608,0.09025979,2.209220628,0.278880456
0,10.84664541,0.858903905,0.102516962,0.079279011,2.221083825,0.237964663
0,11.71647358,0.531215922,0.372642826,0.113859358,1.527304237,0.339904046
0,8.717194288,0.658263176,0.48826258,0.061493488,1.831281147,0.177016309
0,8.887975703,0.99361247,0.261467568,0.194331126,2.696428555,0.503228625
0,11.11354331,0.815449584,-0.119438755,0.210994499,2.4057541,0.564455983
0,11.10831716,0.652586733,-0.407638606,0.097665477,1.859344848,0.256372819
0,8.983313796,0.732117581,-0.456650227,0.069625346,2.271971451,0.178160301
0,8.861201454,0.678120687,-0.195431435,0.159765079,2.07455803,0.470841928
0,11.01735292,1.129373656,0.16281315,0.150729268,3.068930823,0.381628475
